question,answer
"Can I modify the design after agreement?","Modifications are possible during the UI/UX phase; radical changes later may require extra cost."
"Is the software original?","We use licensed software and respect intellectual property rights."
"Thank you","You are welcome! We are always at your service."
"Honored to meet you","The honor is ours, we are happy you contacted Al-Ola Company."
"Goodbye","Stay safe, do not hesitate to contact us again."
"Bye","See you later!"
"Good night","And a good night to you, stay well."
"I want a sales manager","My colleague from the sales department will contact you immediately."
"Is the company officially registered?","Yes, Al-Ola is registered with the Iraqi Registrar of Companies and the Chamber of Commerce."
"Do you have previous work?","Yes, you can view our portfolio on our website."
"What programming languages do you use?","We use PHP (Laravel), Python, .NET, React, Flutter, and others."
"Do you use WordPress?","Yes, we use WordPress for fast sites, and we have custom programming for large projects."
"Do I need a private server for the store?","For large stores yes, for startups strong shared hosting is sufficient."
"What is SEO?","It is optimizing your site to appear in the first results of Google search."
"Do you guarantee my site appears on the first page?","SEO is a continuous process; we guarantee significant ranking improvement, but Google gives no absolute guarantees."
"Do you maintain computers?","Our services are for companies (maintenance contracts); we do not accept individual maintenance currently."
"Do you sell printers?","We supply printers only within corporate outfitting projects."
"I want a program for a restaurant","We have a Point of Sale (POS) system specifically for restaurants and cafes supporting tables and kitchen."
"Does the system support electronic invoicing?","Yes, our systems are compatible with electronic invoicing standards."
"Can the system be linked with mobile?","Yes, you can follow sales reports from your mobile."
"I need an internal PBX for the company","We provide modern IP-PBX systems connecting all company departments."
"Can calls be recorded?","Yes, our PBX systems support call recording for quality purposes."
"Do you establish server rooms?","Yes, we prepare Racks, Cooling, and Raised Floors for server rooms."
"What type of cables do you use?","We use original Cat6 and Fiber Optics cables from global origins."
"Do you have solutions for hotels?","Yes, we have Hotel Lock Systems and reservation management software."
"I want a car tracking app","We provide GPS devices and a tracking system to manage vehicle fleets."
"Does the device turn off the car remotely?","Yes, this option is available in some tracking device models."
"How long is the camera warranty?","Camera warranty is one year real replacement."
"Do cameras record in the dark?","Yes, our cameras are equipped with Infrared (Night Vision) or ColorVu technology."
"Is the sound clear in the cameras?","We provide cameras with built-in microphones to record sound and video."
"I want to make an ad on Google","We are partners with Google and manage Google Ads campaigns professionally."
"What is the required ad budget?","You determine the budget, and we take a management fee. We advise starting with a pilot budget."
"Is content writing on you?","Yes, we have a creative content writing team for posts and the website."
"I want to rebrand my company","Excellent step, we can study your current brand and develop a new visual identity."
"Do you hand over open design files?","Yes, we hand over source files (AI, PSD) upon project completion."
"What is the difference between a website and an app?","A website works on a browser; an app is downloaded to the phone and offers more features like notifications."
"Can a website be converted to an app?","Yes, we can make a Webview App or build an app connected to the website's database."
"Does the app need internet?","Most apps need internet, but we can program features that work offline."
"Do you have an SMS service?","Yes, we provide SMS gateways for promotional messages or verification (OTP)."
"How do I protect my company from hacking?","We provide Firewall solutions and antivirus software."
"Do you recover deleted data?","We try using specialized software, but the result depends on the hard drive status."
"Do you have annual maintenance contracts?","Yes, we provide SLA contracts for companies to guarantee system continuity."
"What does the maintenance contract include?","It includes periodic visits, remote support, and emergency maintenance."
"I want to reserve a .iq domain","We are accredited registrars and can reserve .iq or .com domains for you."
"Is the domain owned by me?","Yes, the domain is registered in your name or your company's name entirely."
"What is Cloud hosting?","It is hosting that relies on multiple servers to ensure site speed and uptime."
"Is the email in the company name?","Yes, we provide official emails like name@yourcompany.com."
"Can email be linked to mobile?","Yes, it can be linked to Outlook or mobile apps easily."
"I need an electronic archiving program","We have an advanced archiving system to save documents and search for them easily."
"Does the system support Arabic?","All our systems support Arabic and English (and Kurdish can be added)."
"Can I try the system before buying?","Yes, we provide a Demo version for some of our systems to try."
"Is the price tax inclusive?","The offers provided clarify whether they are tax-inclusive or not."
"Where can I file a complaint?","We apologize if you faced a problem; you can message management directly at management@alola-tech.com."
"Are your employees Iraqi?","We are proud that our staff is 100% Iraqi, comprising the best programmers and engineers."
"Do you deal with the government sector?","Yes, we have executed many projects for ministries and government institutions."
"How much is the site visit cost?","The site survey visit is free within Baghdad for projects."
"Can I pay later?","Our system relies on scheduled payments based on project progress; we do not accept full deferred payment."
"Do you have 24-hour service?","Technical support for emergencies (servers) is available 24/7."
"I want to make a store like Amazon","This is a huge project (Multi-vendor); we can execute it but it requires budget and time."
"Can I add an unlimited number of products?","Yes, the stores we design handle an unlimited number of products."
"How do I receive my profits from the site?","We connect your site to payment gateways (ZainCash, AsiaPay, QiCard) for you to receive funds."
"Do you photograph products?","Yes, we have a professional product photography service for online stores."
"Do you have printing services?","We design printed materials (cards, brochures) and deal with partner printing houses for execution."
"I need technical consultation","We are happy to provide a free initial consultation for your project."
"What is the best programming language?","There is no 'best' language; we choose the most suitable language for your project requirements."
"Is the code clean?","We adhere to Clean Code standards for ease of future development."
"Can I move my hosting to you?","Yes, we transfer your site from the old hosting to us for free."
"What is an SSL certificate?","It is a security certificate (Green Lock) that protects your site visitors' data, and we provide it for free."
"Does the app need updating?","Yes, technology evolves, and we advise doing periodic updates for the app."
"I want UI/UX design only","Possible, we offer interface design service and hand it over to programmers."
"Do you use ready-made templates?","Depending on the client's desire and budget, we provide custom solutions and ready-made solutions."
"I want a smart entry system for employees","We provide turnstiles that work with cards or fingerprints."
"Do you have intercom devices?","Yes, we provide video intercoms for residential complexes and homes."
"How do I guarantee my rights?","We sign a formal contract guaranteeing both parties' rights, project specs, and timeline."
"Can the contract be cancelled?","There are conditions for contract termination mentioned in the agreement that protect your right."
"Why choose Al-Ola Company?","Because we combine experience, quality, reasonable price, and real after-sales service."
"Do you have agents in provinces?","We work directly currently, and we have partners in some provinces for execution."
"I want a solution for weak internet","We can install Access Points to boost the signal and distribute internet smartly."
"Do you program games?","Our current focus is business applications and services, not games."
"Do you use Artificial Intelligence?","Yes, we started integrating AI solutions in some of our software for analysis and auto-reply."
"I want a Chatbot for my site","We can program a smart chatbot that replies to your clients 24 hours a day."
"Do you have a system for schools?","Yes, we have a school management system connecting administration, teachers, and parents."
"Can I follow my son's grades?","Yes, through the school app we provide."
"I want to design an electronic restaurant menu (QR)","We design a QR Code menu for you that replaces paper menus."
"Can orders be placed from the menu?","Yes, direct ordering from mobile can be activated."
"What is the domain reservation duration?","The minimum duration is one year, and up to 10 years can be reserved."
"Do you remind me of the renewal date?","Yes, we send alerts a month before the hosting or domain expires."
"What if the server crashes?","We have daily and weekly backups to ensure no data loss."
"Do you provide VPN service for companies?","Yes, we connect company branches with a secure and encrypted VPN network."
"I need a smart personal card (NFC)","We design and program NFC cards that replace paper cards."
"Can information on the card be changed?","Yes, you can update your data on the smart card at any time."
"Wishing you a morning of wellness","A blessed morning to you."
"Greetings to you","And warmest greetings to you from the Al-Ola team."
"Good luck","To everyone, God willing. Thank you."
"God bless you","And bless you, thank you for your kind words."
"Great job (lit: Long live your hands)","Thank you, we appreciate your taste."
"Your work is nice","This is from your refined taste; we always strive for the best."
"You are expensive","Quality has a price, and we guarantee you the best value for money."
"I want a discount","Contact sales, and they won't let you down with available offers."
"Do you have offers currently?","Yes, follow our page to know seasonal offers."
"When does the offer end?","Offers are usually for a limited time, seize the opportunity."
"I want the company manager","You can leave a message and the manager's office will reply to you."
"Can I visit you without an appointment?","We prefer booking an appointment in advance to ensure the relevant employee is available to serve you."
"Where can I park my car?","Car parking is available in front of the company for visitors."
"Is the location easy to access?","Yes, the location is on the main street and very clear."
"I want a copy of the contract","You will be provided with two original copies upon signing."
"Can the contract be signed electronically?","Yes, we accept electronic signatures for remote projects."
"I need an official invoice","We issue official stamped tax invoices."
"Does the system support multi-currency?","Yes, you can deal in Dollars, Dinars, and Euros simultaneously."
"Is the system multi-language?","Yes, the user interface supports instant switching between languages."
"How do I download the app?","Send us your device type and we will send you the download link."
"The app does not open","Check internet connection, or try updating the app."
"Do you maintain mobiles?","No, we are a software company; we do not do mobile hardware maintenance."
"I want to buy a server","We can provide HP or Dell servers with high specifications."
"Do you install the rack?","Yes, we arrange and install the Rack Cabinet and organize cables."
"What is Fiber Optics?","It is a technology for transmitting data at the speed of light."
"Do you deliver internet to homes?","We are a tech solutions company, not an ISP, but we set up internal networks."
"I want a customer waiting system","We provide a Q-System (number queuing) for medical centers and companies."
"Do you have advertising screens?","We provide Digital Signage screens to display ads inside your company."
"How do I increase page followers?","Through attractive content and targeted ads; avoid buying fake followers."
"Does fake buying hurt the page?","Yes, it hurts a lot and reduces the reach of real posts."
"I want a content plan","Our team studies your activity and prepares a monthly posting schedule."
"Do you design Reels videos?","Yes, Reels are currently the strongest in reach, and we design them professionally."
"Can I pay via PayPal?","Currently, available methods are Bank Transfer, ZainCash, and Cash."
"I want a refund","Refund policy is subject to contract terms; usually, the down payment is not refunded after work begins."
"Do you provide a warranty on code?","We guarantee the code is free of bugs for one year."
"What if the site gets hacked?","We will restore the backup copy and patch the vulnerability immediately."
"Do you teach programming?","Currently, we focus on providing solutions, but we may open an academy in the future."
"What is the best time to post?","Depends on your audience; our analytics tools determine the ideal time."
"Can the store be linked with a delivery company?","Yes, we link the store automatically with local delivery companies."
"How does the customer know the order arrived?","They receive an SMS or notification via the app."
"I want a real estate system","We have a platform for managing real estate, sales, and rent."
"Does it support maps?","Yes, the property location can be pinpointed accurately on the map."
"I want a medical clinic system","We have a system for managing patient files, reservations, and prescriptions."
"Does it save patient history?","Yes, it keeps a full record of patient visits and treatments."
"I want to design a company profile","We design a professional Company Profile ready for printing and electronic publishing."
"What is the profile format?","We hand you a high-resolution PDF file and the source file."
"Do you design business cards?","Yes, we design business cards that reflect your identity."
"I need a company stamp","We design the official stamp shape for you."
"Can a ready-made program be modified?","If it is our software, yes; but we cannot modify other companies' software."
"Why is the price high?","The price reflects code quality, security, and the after-sales service we provide."
"I found a cheaper price","Check offer details; usually, a cheaper price means compromising quality or support."
"Do you have servers outside Iraq?","Yes, our servers are distributed in Germany and the USA to ensure stability."
"Is my data safe?","We sign a Non-Disclosure Agreement (NDA) to guarantee your data confidentiality."
"How do I know project progress?","We provide a link to follow work stages step-by-step."
"Are there hidden costs?","No, we clarify all costs in the price quote transparently."
"What if you are late in delivery?","We stick to time, and there is a penalty clause in the contract protecting your right in case of delay."
"I want to book a security consultation","We can send a team to assess information security in your company."
"Do you perform penetration testing?","Yes, we offer Penetration Testing service to discover your system vulnerabilities."
"What is a Firewall?","A device or software that prevents unauthorized access to your network."
"I need internet cables","We provide original Cat6 cable reels."
"Do you sell switches?","Yes, we provide Switches from Cisco and Mikrotik."
"How do I program the router?","Technical support can help you remotely, or visit the site."
"Is your internet strong?","We establish the network to handle high speeds, but speed depends on the service provider."
"I want a solution for power cuts to the server","We provide Online UPS devices to protect devices and ensure continuity."
"How long does the battery last?","Depends on the load, and external batteries can be added to increase time."
"Do you have smart home solutions?","Yes, we provide Smart Home systems to control lighting and AC."
"Can the home be controlled by voice?","Yes, we link the system to Alexa or Google Assistant."
"I want a sound system for the shop","We install ceiling speakers and a central sound system."
"Is the sound pure?","We use speakers from global brands to ensure sound purity."
"Thank you very much","You are most welcome."
"Grateful to you","We are at your service anytime."
"Your service is excellent","A testimony we cherish, thank you."
"I will recommend you to my friends","This is the best support you give us, thank you for your trust."
"When do I receive the site?","According to the time agreed in the contract, we usually adhere to dates strictly."
"Is training free?","Yes, we train your staff on using the system for free after delivery."
"Where is the training held?","At your headquarters, ours, or online, as you wish."
"Is there a user manual?","Yes, we provide you with video files and PDFs explaining the system."
"Can features be added in the future?","Yes, our systems are flexible and accept future development."
"What is a Domain?","It is your website address on the internet (like www.google.com)."
"What is Hosting?","It is the storage space where website files are placed."
"Can I reserve a domain only?","Yes, you can reserve the domain now and use it later."
"Do you have visual identity design service?","Yes, a full package including logo, official papers, and envelopes."
"How many design revisions are allowed?","We allow 3 rounds of revisions before final approval."
"I want one minute of motion graphics","The minute price depends on drawing and animation quality; contact us for details."
"Is voiceover included?","Yes, we provide voiceover artists in different dialects."
"I want an iPhone app only","Possible using Swift, but we advise Flutter to work on both systems for nearly the same cost."
"What is Flutter?","A Google technology allowing app creation for Android and iPhone with one code base and high efficiency."
"Is the app fast?","Our apps are optimized to work fast and with high efficiency."
"How do I save laptop battery?","This is outside our specialty, but we advise not leaving it on the charger all the time."
"Do you sell original Windows?","Yes, we provide original Microsoft Windows and Office licenses for companies."
"Do you have antivirus?","We provide Kaspersky and ESET licenses for companies."
"What is the difference between Server and Cloud?","A server is a tangible device with you; the cloud is virtual servers via the internet."
"Which is better?","Cloud is better for flexibility and no power cuts; local server is better for internal data transfer speed."
"Can branches be connected?","Yes, using VPN or Microwave technologies."
"Do you have internet towers?","We install Point-to-Point towers to connect company branches."
"What is the broadcast range?","Depends on the device, reaching up to 50 km in some devices."
"Are devices rain resistant?","Yes, outdoor network devices are designed to withstand weather conditions."
"Do you have emergency maintenance?","Yes, emergency service is available for contract clients."
"The device shows a red light","Might be a power or connection issue, please send a picture of the device to technical support."
"Camera is not recording","Check the hard disk, or contact us to check the DVR/NVR device."
"I forgot the camera lock pattern","We can reset the password, but we need proof of device ownership."
"I want to change Wi-Fi name","You can enter router settings, or let us help you remotely."
"Internet is cutting out","Cause might be the source or weak signal; we need to check."
"I want to boost mobile signal","There are repeater devices, but their legality must be confirmed first."
"Do you have interactive screens?","Yes, we provide Smart Boards for schools and meeting rooms."
"Do they work by touch?","Yes, they support multi-touch and work on Android and Windows systems."
"I want a paper archive system","We provide fast scanners with archiving software."
"How many pages does it scan per minute?","There are devices scanning up to 100 pages per minute."
"Can I search for a word inside the image?","Yes, OCR technology supports extracting text from images (depending on font quality)."
"Do you have cashier solutions?","We provide All-in-One touch devices for cashiers."
"Does the drawer open automatically?","Yes, it opens automatically when printing the invoice."
"Can I monitor the cashier?","Yes, we mount a camera above the cashier and link it to the sales system (Text Insertion) in some systems."
"I want warehouse inventory","Our system facilitates inventory using a Data Collector device."
"Do you have barcode scales?","Yes, scales that print barcode stickers for supermarkets."
"Can I sell on credit?","The system supports opening accounts for clients and selling on debt."
"How do I know client debts?","With a button click, the system gives a detailed account statement for each client."
"Can employee permissions be defined?","Yes, the Manager sees everything, and the employee sees only what you define for them."
"Can an employee delete an invoice?","You can prevent the employee from deleting or editing without Manager approval."
"I want a profit report","The system gives a daily, monthly, and yearly report on profits and expenses."
"Does the system calculate salaries?","Yes, the payroll module calculates absences, advances, and net pay."
"Is the company guaranteed?","We have been working in the market for years and have a good reputation and large client list."
"I am afraid the site will close","We hand you a full control panel and a copy of your site; you are the real owner."
"What if your company closes?","God forbid, the Source Code is yours (per contract) to continue with any other party."
"Can I upgrade the plan later?","Yes, you can upgrade to a higher package at any time."
"Is the consultation paid?","Initial consultation is free; deep technical consultations and reports are paid."
"I want a technical feasibility study","We prepare feasibility studies for emerging tech projects."
"How do I start my tech project?","Start with a clear idea, and we help you with technical execution."
"Do you have partnerships?","We welcome strategic partnerships that serve both parties."
"I want to be an affiliate marketer for you","We have a system for marketers; contact sales for details."
"Can I put my logo on the software?","Yes, we provide White Label service for some of our products."
"What does White Label mean?","It means selling our system under your own name and logo to your clients."
"I want to design a magazine","We design magazines and books using InDesign technologies."
"Is printing on you?","Design is on us, and we can supervise printing."
"Are used images exclusive?","We buy images from global image banks to guarantee rights and quality."
"Why are site images unclear?","Uploaded images might be low resolution; please send high-resolution images."
"I want a site like Craigslist/Haraj","We call it a Classifieds site, and it is our specialty."
"Can visitors add ads?","Yes, they can register and add their ads after your approval or automatically."
"Can an abusive user be banned?","Yes, the control panel enables you to ban any user or IP."
"Is the site protected from attacks?","We use Cloudflare and security solutions to repel DDoS attacks."
"What is DDoS?","An attack aiming to bring down the site with many fake requests, and we protect your site from it."
"Do you support Kurdish language?","Yes, we program sites and systems supporting Kurdish (Sorani & Badini)."
"Can English be added later?","Yes, our software structure allows adding new languages easily."
"How do I guarantee idea secrecy?","We sign an NDA before you explain any precise detail."
"Do you steal ideas?","Our reputation is our capital; we execute ideas, not steal them."
"I want a programmer to work at my company","We offer Outsourcing service; we provide a programmer working for you under our supervision."
"What is the benefit of Outsourcing?","You save hiring and insurance costs and guarantee a replacement if the programmer gets sick."
